ID,Group,Name,Address,Long,Lat,About,Image,Other,,,
38 Washington Square,Place,<sm>Image courtesy of the New York Historical Society. <sm><p><b>The Purple Pup</b></p>,38 Washington Square,,,"""Montmartre removed to New York."" An ad in <i>The Quill</i> asked, ""Are you looking for the real spirit of bohemia?"" It could be found at The Purple Pup, a cafe and dance hall, run by .  Painter Charles Demuth <a href=""https://www.mfa.org/collections/object/the-purple-pup-36503"">portrayed a lively scene there</a> in his watercolor of the same name, a ""self portrait with Marcel Duchamp."" ",https://compote.slate.com/images/d6a3552c-b261-476f-b430-6fc6cbd03261.jpg,,,,
The Little Book of Greenwich Village,Publication,<b><i>The Little Book of Greenwich Village</i></b>,,-73.997482,40.730835,"""A handbook of information concerning New York's Bohemia, with which is incorporated a map and directory"". Egmont Ahrens, 1918",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/LBofGV.jpg,,,,
20 Christopher Street,Place,<sm>Image courtesy of the New York Historical Society.</sm> <p><b>Romany Marie's Romanian Peasant Inn</b>,20 Christopher Street,-74.000559,40.73408,"<a href=""https://en.wikipedia.org/wiki/Romany_Marie"">Romany Marie</a>, ""the queen of Greenwich Village,"" operated a number of restaurants in the neighborood. The Romanian Peasant Inn could draw a crowd: advertisements advised diners to “telephone a day in advance in order to reserve a seat or a table.”<p><i>Marie, who as a teenager came to the US from Romania in 1901, said she patterned her taverns... dressed as a gypsy and usually decorated in rococo style with peasant scarves, batiks, pottery, and her patrons’ paintings. Several of the 11 locations she occupied over the years featured fireplaces, which to the horror of health inspectors she used for broiling steaks""</i>, <br/>writes <a href=""https://restaurant-ingthroughhistory.com/2010/07/29/anatomy-of-a-restaurateur-romany-marie/"">blogger and restaurant historian Jan Whitaker</a>. Marie was known to feed writers and artists down on their luck for free. Some of her regular patrons included Eugene O'Neill,  Buckminster Fuller, Burl Ives,  Harry Kemp, Theodore Dreiser, Paul Robeson, and John Sloan, among many others. <img src=""https://victualling.files.wordpress.com/2010/07/romanymarieca1920.jpg""</>",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/romany_marie's.jpg,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Clement Wood,,,,,,,,,,,
Romany Marie,,,,,,,,,,,
Egmont Ahrens,,,,,,,,,,,
Frank Shay,,,,,,,,,,,
Harry Kemp,,,,,,,,,,,
John Reed,,,,,,,,,,,
Paul Robeson,,,,,,,,,,,
Robert Edwards,,,,,,,,,,,
Mabel Dodge,,,,,,,,,,,
Eugene O'Neill,,,,,,,,,,,
Dorothy Day,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
The Village Guide,Publication,,,,,,,,,,
"The Wigwam – “a really cool, well-decorated tearoom, with an excellent dance floor.” 1 Sheridan Sq/entrance on 4th",,,,,,,,,,,
Greenwich Village Theater,,,,,,,,,,,
Aladdin Shop – attic tea room @ Sheridan Square (Ruth Morgan),,,,,,,,,,,
"My Tea Wagon (garden dining) 118 Washington Place (“Mrs. Maggi, of the well-known 38th St. restaurant”). 103 W 38th",,,,,,,,,,,
Do Drop Inn,,,,,,,,,,,
Polly’s – The Greewich Village Inn 147 W 4th St,,,,,,,,,,,
Will o’ the Wisp “Literary and artistic rendezvous of Greenwich Village” 113 Washington Pl,,,,,,,,,,,
9/17 The Greenwich Village Inn (Polly’s) 5 and 6 Sheridan Sq – expansion,,,,,,,,,,,
,,,,,,,,,,,
Purple Pup “Are you looking for the real spirit of bohemia” 38 Washington Sq.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Les Rendevous,,,,,,,,,,,
,,,,,,,,,,,
137 MacDougal Street,Place,<b>The Dutch Oven</b>,,,,The Dutch Oven took over the original location of Polly's in ----,,,,,
