ID,Group,Name,Address,Long,Lat,About,Image,Other,,,
133 MacDougal Street,Place,<b>The Provincetown Playhouse</b>,133 MacDougal Street,-73.999968,40.730892,"The theater was home to the <a href=""https://en.wikipedia.org/wiki/Provincetown_Players""><b>Provincetown Players</b></a>, founded by Jig Cook and John Reed; the playhouse staged the early plays of O'Neill, Susan Glaspell, and poet Edna St. Vincent Millay, among many others. In 2008 the building was mostly demolished by New York University to make way for construction, although portions of it were integrated into the structure of the new building. ",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Provincetown_Playhouse.jpg,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Provincetown_Playhouse%2C_133_MacDougal_Street%2C_Manhattan_%28NYPL_b13668355-482856%29.jpg,https://www.nycgovparks.org/parks/west-4th-street-courts/highlights/10766,
125 East 11th Street,Place,<b>Webster Hall</b>,125 East 11th Street,-73.989098,40.731863,"Still in operation primarily as a concert venue, Webster Hall was the site of Socialist, Anarchist, and union political rallies, parties, and costume balls thrown by and for the artist community in the Village.",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Costume_Ball_at_Webster_Hall_crop.jpg,,"√ä""Nicknamed the ""Devil's Playhouse"" by the socialist magazine√äThe Masses,√äWebster Hall became particularly known for the wilder and more risque events of the time;√äMarcel Duchamp,√äJoseph Stella,√äMan Ray,√äFrancis Picabia,√äCharles Demuth,√äF. Scott Fitzgerald,√äLangston Hughes,√äBob Brown, and many other notables regularly attended events there during this time."" (""Webtster Hall, Wikipedia) https://en.wikipedia.org/wiki/Webster_Hall#1886%E2%80%931940",,
Greenwich Village To Day,Publication,"<b>""Greenwich Village To Day""</b>",Greenwich Village,-74.001613,40.732339,"A hand-drawn map by Robert Edwards, depicting the Village and its familiar haunts in 1925.",https://gvshp.org/blog/wp-content/uploads/2014/01/1925GreenwichVillage.jpg,,,,
58 Washington Square South,Place,<sm>Courtesy of the New York Historical Society. </sm><br/><b>Grace Godwin's Garrett</b>,58 Washington Square South,-73.998046,40.730197,"A 1917 ad in <i>The Quill</i> enjoined readers to ""Let Grace Godwin serve you breakfast at the Garret of Inspiration” (although she is shown above serving a spaghetti dinner). Godwin catered primarily to her personal social circle, calling the garret ""a meeting place of interested and interesting people.""  <a href=""http://gothamist.com/2015/01/08/washington_square_flashback.php"">was taken to court</a> for violating a city statute against barring entry to non-white patrons <br/>                                                                                                                                                                                                      The garret was formerly known as <a href= ""https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/WS_South_Brunos.jpeg?embed=true""> ""Bruno's Garret""</a>, operated by Guido Bruno, publisher of  <a href=""http://bluemountain.princeton.edu/bluemtn/?a=d&d=bmtnaaq19161108-01.2.2&e=-------en-20--1--txt-txIN-------""<i>Bruno's Weekly</i></a> -- was often derided by other Village personalities for his efforts to exploit the Village as a tourist attraction. ",http://gothamist.com/attachments/arts_jen/godwindinner15.jpg,,,,
West 4th Street,Place,"<b>West Fourth Street</b>, photographed by Jessie Tarbox Beals",West 4th Street,-74.001612,40.732362,Pictured in the photo is the Pig and Whistle Inn at 175.,"<a data-flickr-embed=""true""  href=""https://www.flickr.com/photos/schlesinger_library/19058524262/"" title=""PC60-60f-43""><img src=""https://live.staticflickr.com/369/19058524262_a25c85c308_n.jpg"" width=""320"" height=""213"" alt=""PC60-60f-43""></a><script async src=""//embedr.flickr.com/assets/client-code.js"" charset=""utf-8""></script>",,,,
6 1/2 Sheridan Square,Place,"<sm>Image courtesy of the Schlesinger Library on the History of Women in America, Radcliffe Institute</sm><br/><b>Village Art Gallery</b>",6 1/2 Sheridan Square,-74.002351,40.733298,"Advertising ""Photographs, Paintings, Lemonade, Shortcake"",  the Village Art Gallery was the project of <a href=""https://en.wikipedia.org/wiki/Jessie_Tarbox_Beals""><b>Jessie Tarbox Beals</b></a>, in 1917. Beals, who documented Village life (and whose photographs are featured in this project), managed the gallery for less than a year, but later opened a salon and uptown. The gallery later became <a href= ""https://ephemeralnewyork.files.wordpress.com/2014/01/jessietarboxbealscrumperie.jpg""> The Crumperie</a>, a tea shop.","<a data-flickr-embed=""true""  href=""https://www.flickr.com/photos/schlesinger_library/9631142750/"" title=""PC60-7-3""><img src=""https://live.staticflickr.com/3754/9631142750_2f59698fde_n.jpg"" width=""250"" height=""320"" alt=""PC60-7-3""></a><script async src=""//embedr.flickr.com/assets/client-code.js"" charset=""utf-8""></script>",,,,
38 Washington Square,Place,<sm>Image courtesy of the New York Historical Society. <sm><br/><b>The Purple Pup</b>,38 Washington Square,-73.999426,40.730896,"""Montmartre removed to New York."" An ad in <i>The Quill</i> asked, ""Are you looking for the real spirit of bohemia?"" It could be found at The Purple Pup, a cafe and dance hall, run by .  Painter Charles Demuth <a href=""https://www.mfa.org/collections/object/the-purple-pup-36503"">portrayed a lively scene there</a> in his watercolor of the same name, a ""self portrait with Marcel Duchamp."" ",https://compote.slate.com/images/d6a3552c-b261-476f-b430-6fc6cbd03261.jpg,,,,
The Little Book of Greenwich Village,Publication,<b><i>The Little Book of Greenwich Village</i></b><br/>,,-73.997482,40.730835,"""A handbook of information concerning New York's Bohemia, with which is incorporated a map and directory"". Egmont Ahrens, 1918.",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/LBofGV.jpg,,,,
20 Christopher Street,Place,<sm>Image courtesy of the New York Historical Society.</sm><br/><b>Romany Marie's Romanian Peasant Inn</b>,20 Christopher Street,-74.000559,40.73408,"<a href=""https://en.wikipedia.org/wiki/Romany_Marie"">Romany Marie</a>, ""the queen of Greenwich Village,"" operated a number of restaurants in the neighborood. The Romanian Peasant Inn could draw a crowd: advertisements advised diners to “telephone a day in advance in order to reserve a seat or a table.”<p><i>Marie, who as a teenager came to the US from Romania in 1901, said she patterned her taverns... dressed as a gypsy and usually decorated in rococo style with peasant scarves, batiks, pottery, and her patrons’ paintings. Several of the 11 locations she occupied over the years featured fireplaces, which to the horror of health inspectors she used for broiling steaks""</i>, <br/>writes <a href=""https://restaurant-ingthroughhistory.com/2010/07/29/anatomy-of-a-restaurateur-romany-marie/"">food historian Jan Whitaker</a>. Marie was known to feed writers and artists down on their luck for free. Some of her regular patrons included Eugene O'Neill,  Buckminster Fuller, Burl Ives,  Harry Kemp, Theodore Dreiser, Paul Robeson, and John Sloan, among many others.",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/romany_marie's.jpg,,,,
Seventh Avenue South between Christopher Street and West 4th Street,Place,<sm>Image courtesy of  the New York Public Library</sm><br/><b>Greenwich Village Theater</b>,Place,-74.002851,40.733683,"The Greenwich Village Theatre was originally built for the Greenwich Village Players, who, like the Washington Square Players, were amateur players.
Sinclair Lewis satirized prominent Greenwich Village figures (who he clearly thought were taking themselves too seriously) and the influx of tourists in Hobohemia, a short story that he adapted into a play for the theater in 1919. The play’s character of Mr. Brown decides that “the only problem with bohemia is that the bohemians don’t know how to make a profit from it.”
The Greenwich Village Follies, with scenes and songs that also parodied Greenwich Village life and current events, opened at the Greenwich Village Theatre in 1919. Following the success of the Follies, the show moved to the Schubert Theatre on Broadway a month after it had opened downtown. Nevertheless, the theater was so influential, that it helped form the reputation of the area as a creative enclave.  ",https://raw.githubusercontent.com/alisonporchnik/GV_Map.io/master/images/Gv_theater.jpg,,,,
<b>Minetta Street</b>,Place,<sm>Image courtesy of the New York Public Library</i><br/>Minetta Street and Minetta Lane in 1925.,Place,-74.001375,40.7299,"Although the Harlem Renaissance once made New York City above 120th Street the hub of African American cultural life in the 1920s, Greenwich Village--and especially the few square blocks around the ""Minettas""--had  had a sizeable African American community since the colonial era, when they were used by European settlers to serve as a ""buffer"" between the local Lenape and the white residents of New Amsterdam.  In the early 20th century, with the Village transforming around them, these blocks remained a primarily poor, black neighborhood--also called ""Little Africa."" They were known for their ""black and tan"" bars, in which whites and blacks could freely mix. Outsiders characterized the area as seedy and dangerous. However, numerous Village restaurants and tea houses employed African Americans, who likely called the Minettas home.",https://ephemeralnewyork.files.wordpress.com/2010/11/minettastreet1925.jpg,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Clement Wood,,,,,,,,,,,
Romany Marie,,,,,,,,,,,
Egmont Ahrens,,,,,,,,,,,
Frank Shay,,,,,,,,,,,
Harry Kemp,,,,,,,,,,,
John Reed,,,,,,,,,,,
Paul Robeson,,,,,,,,,,,
Robert Edwards,,,,,,,,,,,
Mabel Dodge,,,,,,,,,,,
Eugene O'Neill,,,,,,,,,,,
Dorothy Day,,,,,,,,,,,
Bodenheim,,,,,,,,,,,
,,,,,,,,,,,
The Village Guide,Publication,,,,,,,,,,
"The Wigwam – “a really cool, well-decorated tearoom, with an excellent dance floor.” 1 Sheridan Sq/entrance on 4th",,,,,,,,,,,
Greenwich Village Theater,,,,,,,,,,,
Aladdin Shop – attic tea room @ Sheridan Square (Ruth Morgan),,,,,,,,,,,
"My Tea Wagon (garden dining) 118 Washington Place (“Mrs. Maggi, of the well-known 38th St. restaurant”). 103 W 38th",,,,,,,,,,,
Do Drop Inn,,,,,,,,,,,
Polly’s – The Greewich Village Inn 147 W 4th St,,,,,,,,,,,
Will o’ the Wisp “Literary and artistic rendezvous of Greenwich Village” 113 Washington Pl,,,,,,,,,,,
9/17 The Greenwich Village Inn (Polly’s) 5 and 6 Sheridan Sq – expansion,,,,,,,,,,,
,,,,,,,,,,,
Purple Pup “Are you looking for the real spirit of bohemia” 38 Washington Sq.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Les Rendevous,,,,,,,,,,,
,,,,,,,,,,,
137 MacDougal Street,Place,<b>The Dutch Oven</b>,,,,The Dutch Oven took over the original location of Polly's in ----,,,,,
